epoch 2, 10 total epochs, LR 0.100000, TRAINLOSS 1.344156, TESTLOSS nan, testACC 50.08%, testmAP 0.00%, bestTestmAP 0.00%
epoch 5, 6 total epochs, LR 0.000100, TRAINLOSS 0.267975, TESTLOSS 0.890608, testACC 84.46%, testmAP 72.93%, bestTestmAP 77.87%
epoch 6, 6 total epochs, LR 0.000100, TRAINLOSS 0.229529, TESTLOSS 0.843789, testACC 85.71%, testmAP 76.04%, bestTestmAP 77.87%

epoch 2, 6 total epochs, LR 0.000100, TRAINLOSS 0.611820, TESTLOSS 0.602403, testACC 88.89%, testmAP 85.21%, bestTestmAP 85.21%
epoch 3, 6 total epochs, LR 0.000100, TRAINLOSS 0.333979, TESTLOSS 0.578247, testACC 89.65%, testmAP 84.27%, bestTestmAP 85.21%
epoch 4, 6 total epochs, LR 0.000100, TRAINLOSS 0.245065, TESTLOSS 0.732385, testACC 88.19%, testmAP 79.70%, bestTestmAP 85.21%
epoch 5, 6 total epochs, LR 0.000100, TRAINLOSS 0.200200, TESTLOSS 0.588660, testACC 89.90%, testmAP 84.59%, bestTestmAP 85.21%
epoch 6, 6 total epochs, LR 0.000100, TRAINLOSS 0.169232, TESTLOSS 0.792300, testACC 88.18%, testmAP 80.00%, bestTestmAP 85.21%

epoch 2, 6 total epochs, LR 0.000100, TRAINLOSS 0.433684, TESTLOSS 0.400822, testACC 94.05%, testmAP 90.70%, bestTestmAP 90.70%
epoch 3, 6 total epochs, LR 0.000100, TRAINLOSS 0.215664, TESTLOSS 0.467248, testACC 91.66%, testmAP 85.36%, bestTestmAP 90.70%
epoch 4, 6 total epochs, LR 0.000100, TRAINLOSS 0.154428, TESTLOSS 0.505567, testACC 92.52%, testmAP 85.99%, bestTestmAP 90.70%
epoch 5, 6 total epochs, LR 0.000100, TRAINLOSS 0.123824, TESTLOSS 0.564244, testACC 93.11%, testmAP 87.17%, bestTestmAP 90.70%
epoch 6, 6 total epochs, LR 0.000100, TRAINLOSS 0.101223, TESTLOSS 0.544285, testACC 92.10%, testmAP 84.99%, bestTestmAP 90.70%

epoch 2, 6 total epochs, LR 0.000100, TRAINLOSS 0.367746, TESTLOSS 0.342906, testACC 94.78%, testmAP 90.78%, bestTestmAP 90.78%
